#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)","Time Remaining"
32.3%,177429,-1284461.2917492082,300.79690706311186,991.6843389140147,57.3,18:43
32.7%,179928,-1286236.1649665777,300.42485084912715,991.6843389140147,57.3,18:35
33.2%,182427,-1285494.22362083,299.73054298264225,991.6843389140147,57.3,18:28
33.6%,184926,-1283536.9410680719,300.9824579982622,991.6843389140147,57.3,18:20
34.1%,187425,-1285103.0150554376,301.9156020484925,991.6843389140147,57.3,18:13
34.5%,189924,-1283788.1763281384,299.08405673520986,991.6843389140147,57.3,18:05
35.0%,192423,-1283625.5577053027,300.4482702671517,991.6843389140147,57.3,17:58
35.4%,194922,-1285630.6326855058,301.1719238637174,991.6843389140147,57.3,17:50
35.9%,197421,-1283313.5389787992,300.41725415437946,991.6843389140147,57.3,17:43
36.3%,199920,-1285309.4750694688,301.63377385898383,991.6843389140147,57.3,17:35
36.8%,202419,-1285066.6543124197,301.9594976271355,991.6843389140147,57.3,17:27
37.3%,204918,-1284032.7530389028,300.46395546744657,991.6843389140147,57.3,17:19
37.7%,207417,-1283717.5187532678,300.8734272043913,991.6843389140147,57.3,17:12
38.2%,209916,-1283093.8207738036,301.196643024665,991.6843389140147,57.3,17:04
38.6%,212415,-1284078.3765419452,302.2339441422034,991.6843389140147,57.3,16:57
39.1%,214914,-1284041.337124086,301.9770658856395,991.6843389140147,57.3,16:49
39.5%,217413,-1283784.8131889002,300.29658388812663,991.6843389140147,57.3,16:42
40.0%,219912,-1283284.507827906,302.116199681387,991.6843389140147,57.4,16:34
40.4%,222411,-1283486.309409937,300.6009818148912,991.6843389140147,57.3,16:27
40.9%,224910,-1284760.5432384713,299.86520263429804,991.6843389140147,57.4,16:19
41.3%,227409,-1285884.0983024715,299.9482973237733,991.6843389140147,57.3,16:12
41.8%,229908,-1285453.3912740601,300.8500627697731,991.6843389140147,57.4,16:04
42.3%,232407,-1281882.495962168,302.7614136625817,991.6843389140147,57.4,15:56
42.7%,234906,-1282963.1075185882,300.29338124922504,991.6843389140147,57.4,15:48
43.2%,237405,-1285346.9391341219,301.4468599813841,991.6843389140147,57.4,15:41
43.6%,239904,-1285713.8629816463,301.9047735923046,991.6843389140147,57.4,15:33
